x1,x2
-3.972525645150914997e-01,-1.245562708376608541e-01
2.456752504331430886e-01,-3.325519957407988558e-01
4.434011628554068718e-01,-9.470761675516237155e-02
-1.601182019710398752e-01,-3.757823077484874208e-01
-2.735479392503007423e-01,-4.703794552749909208e-01
3.754948789700600642e-01,4.788671290859425334e-02
2.817502064317287669e-01,-3.867537239773983782e-01
7.139603606635791522e-02,2.312343971815193910e-01
1.246754069989300939e-01,3.447579147604125094e-01
-4.340126087606734906e-01,-4.969233456211956668e-01
-4.157368981257102414e-01,2.940080019450432847e-01
3.844077292185092976e-01,-1.052966211786644513e-01
9.176565644715684034e-02,2.877090226336600498e-01
-2.586031319969911424e-01,-5.191080020208940216e-01
2.698591660140321480e-01,2.840509745893550209e-01
-2.412880494895941474e-01,-3.428159057242943231e-01
1.422326450663218278e-01,-7.707418354447748143e-02
4.227167658703891995e-01,-3.293846918371212684e-01
-3.725993004942068643e-01,2.404846543975215356e-01
-4.923119315335889867e-01,-5.179333354960414804e-01
-5.379586913649546664e-01,-2.246818974784541290e-01
-4.678908603634512886e-02,-1.940569983338853444e-01
4.125224036522355808e-01,2.424193768531177628e-01
7.315440158219255196e-02,-2.420062163223232199e-01
3.752943332014758715e-01,3.328141019943968715e-01
4.259588921272146056e-01,3.126407544238782865e-01
-3.781871111968482246e-03,-3.077012455887638831e-01
-3.457251128220684144e-01,-2.613506668676492950e-01
-1.286773986513953805e-01,2.709191410179789816e-02
2.048521942361972714e-01,-2.134761435976711974e-01
-3.827940227992991939e-01,-3.116167377971462704e-01
2.992345019846838206e-01,-1.945384193036986398e-01
-4.112937033561280264e-01,-1.383747198889588859e-01
2.927609489718543401e-01,-6.777828763970261683e-02
3.144299520750033494e-01,4.488063345138211258e-01
-5.258549329992924237e-01,-4.361347147983923866e-01
-4.779518435463379067e-01,2.768167590232343267e-01
-1.803362191984170249e-02,3.171970303552160697e-01
2.962605784991823032e-02,-4.543452710425861518e-01
1.276910410899613213e-01,3.363848271215736929e-01
2.115757492275458507e-01,-7.992577616064089341e-03
7.406817226169415402e-02,-4.532630353700498604e-01
1.883354994812209693e-01,-4.139854535170498506e-01
-1.271935349935900961e-01,-4.407853018814784640e-01
3.345451710377983501e-01,-9.458066350594995786e-02
2.555589364455282952e-01,9.503430297102877233e-03
7.525592012377646522e-02,4.067121590921352059e-01
1.223000270539726930e-01,8.663846978353983985e-02
-4.548005337350107258e-01,-1.281067698181814762e-01
3.775173657575450203e-01,3.826310684641101023e-01
-5.139817502840615671e-01,3.193617309082484867e-01
-6.590646557522683580e-02,-1.318656623837497488e-01
-3.878053098245538566e-01,-2.313923370440424954e-01
1.143464137361178690e-01,3.907843842887934738e-01
-3.169633076348108425e-01,9.634258213211832622e-02
-4.177497721847441836e-01,-5.377511434229398368e-01
4.025510206761284682e-01,-3.488285126629169230e-01
3.402910920665302985e-01,-1.823597774461118703e-01
-4.675064475777257478e-03,1.843974187192425340e-01
3.850712818711093943e-01,2.669635073072406106e-01
-2.821200896546820491e-01,-4.115206541253151329e-01
-1.574849478740659725e-01,-4.904979157822433322e-01
1.509768380487612749e-01,9.845636283488723439e-02
-4.455187314467599080e-01,-3.046007136759165679e-02
3.410577384881539054e-01,3.438893681921747492e-01
-4.701437182459630160e-01,4.330895861887307241e-02
2.246363020966279933e-01,-4.389228245389581451e-01
-1.120097313485639567e-01,3.024829184926051129e-01
-4.294347972416899806e-01,-2.491711602248054547e-01
4.395099256974602797e-01,2.476264844594536774e-01
6.899794616976018258e-02,-1.990007728991799452e-01
-4.911183886705799972e-01,9.791841365531595009e-02
-1.539446019733794468e-01,2.055486637652724768e-01
-1.418884629996461921e-01,-3.579293377860016667e-01
3.305821267367018423e-01,-3.159657247232533495e-01
-1.860694526913574398e-01,3.991545748137524940e-01
-1.715242179727914928e-01,-2.129290824300211771e-02
2.094285886790521189e-01,-3.828080801474876838e-01
3.262013510156790419e-01,-4.262624988137229121e-01
-9.577584857345367020e-02,-1.638473279444444541e-01
-2.131065204409730018e-01,-2.633863125181775677e-01
2.970416857145598000e-01,-2.774962771256079819e-01
2.615961847309551391e-01,-1.978526062658100271e-01
4.989670070674767643e-02,3.255703982331066282e-01
9.551181408971010089e-02,-1.347694608287705043e-01
-4.255494053233376262e-01,4.100258911929196559e-01
1.298741352256339576e-01,-3.028732346951372723e-01
2.808917083456218267e-01,-6.561951622123618488e-02
-2.896483402347921343e-01,3.580888731184029838e-01
-4.244250577634832711e-01,-2.571299957283700310e-01
-3.167540314751304820e-03,4.353398163119075459e-01
-3.303358808233967103e-01,1.159909960165759202e-01
-9.181967467638552094e-03,-5.750105845849373676e-02
3.396934118961359994e-01,-5.195795171226924580e-02
9.027756936955477762e-02,-4.130049885086305439e-01
-1.508124894452267384e-02,-1.467946062192633239e-01
4.092519219379472384e-01,-1.655277587090138169e-01
-1.830291863322467405e-01,-3.726647133601627138e-01
1.385886291519689006e-02,-5.630702866823567021e-02
-4.173968248709795104e-01,3.792669494740738001e-01
-9.417714241549135501e-02,1.974134862902720000e-01
1.622311112774358355e-01,-3.649087566131206106e-01
6.704917845355873318e-02,-2.590650127420506266e-01
-3.602827283455628526e-01,1.622343367550502791e-01
2.855394512735143220e-02,-4.447757983870149756e-01
-9.518318466967667923e-02,-2.544756831722644330e-01
-2.083397954719335976e-01,-8.699520516286374239e-02
-4.932551955725285042e-01,-2.801537447660691349e-01
1.028363292691040209e-01,1.293463103939145320e-01
3.083497985788371532e-01,-2.776925005707915339e-01
2.037835320098018155e-01,3.683761650520988029e-01
3.052436624295877809e-01,3.292010181807653035e-01
3.553206234912148487e-01,3.707057788504209972e-01
2.760909050092316130e-01,-3.208718608622251889e-02
-3.574118590140719087e-01,2.592689242264362148e-01
3.316230987400852204e-01,1.784089728186902812e-01
1.009336489474111920e-01,4.454441300983302821e-01
-3.118783173697003974e-02,-3.935959975785596754e-02
-2.231031652779924546e-02,-3.312395165214101489e-01
2.099373550490479801e-02,2.101863377853833148e-01
-4.309416538168507893e-01,3.323382928467902842e-01
-4.898229341527121639e-01,-2.138347716049967540e-01
-4.385067462702159080e-01,-2.139368396772211023e-01
-1.505945465331564037e-01,-1.326631616077107445e-01
1.886529259932827607e-01,-3.575823338850769861e-02
-3.020671370317106197e-01,2.556062359643179738e-01
3.080298801392152841e-01,-8.500945211593813333e-02
2.219356371732177369e-01,-4.362815430388922167e-02
-3.719455117450261028e-01,-1.509735467214794458e-01
-4.273961917921511589e-01,-3.490904789872893987e-01
3.981888843278070800e-01,1.223768977964536653e-01
-1.414276044741052951e-01,-4.015822870094101216e-01
1.114762831473536941e-02,3.969540663466269992e-01
2.229951673977285109e-01,-4.484604729589914962e-01
-5.044075183911733706e-02,3.734606526741894861e-01
-4.176673666601136148e-01,3.248898667345750946e-01
3.765205970140138581e-01,2.804570539543831398e-01
-4.654375655096025799e-01,-3.926471123515101747e-01
-1.342360664215785926e-01,-1.606463490051686094e-01
2.532737678416641103e-02,-2.866764933262144766e-01
-2.629041267809296700e-01,3.711285834051869514e-02
-5.230533640943906271e-01,-1.592810888549113235e-01
2.948509696793081281e-01,-3.142889854736685695e-02
3.386768278219149941e-01,3.647986633421628211e-01
3.678625689687128331e-01,-3.051859765364837163e-01
-3.529805635446748857e-01,-3.389069877464525593e-01
-1.943074684517045458e-01,-4.593598048900807695e-01
-2.255447200752882519e-01,-5.213504389941641115e-01
4.032630853847271046e-01,-1.677733964565844005e-01
-1.123746318431355640e-01,-4.005879832101032489e-01
-3.101655463417396508e-01,2.086550971262637333e-01
4.365672687805244312e-02,-2.977123354215157613e-01
1.834805225555191655e-02,4.420415002122677350e-01
2.839815760502851782e-01,2.224764805514380939e-01
2.116891753416150213e-01,-3.820086690217463499e-01
9.800143314523757088e-02,9.916946466175435848e-02
-3.366741268738360215e-02,-3.097990502236401822e-01
3.387006871482695081e-01,2.534254505110711264e-02
3.184154646246513121e-01,-2.317689422072355399e-01
4.335459788189968133e-01,-4.935757085563865498e-01
-1.225032837128156027e-01,4.461793970106135987e-01
-5.085965204521081251e-02,-1.477851170603011743e-01
-5.479369835464350524e-01,1.547365849062753984e-02
-4.536018136582031790e-02,-2.467215018422104222e-01
-1.251348757205523743e-01,-2.112882892685021829e-01
-5.685288887765982402e-02,-2.362166720347914639e-01
-4.657410387347852287e-01,2.460385282220665104e-01
